,Unnamed: 0,Municipio,casosm,casosh,año
0,0,AMAZONAS,93.0,19,2016
1,3,ANTIOQUIA,4285.0,816,2016
2,64,CALDAS,533.0,95,2016
3,85,CAQUETÁ,310.0,27,2016
4,100,CASANARE,746.0,122,2016
5,132,CAUCA,860.0,134,2016
6,163,CESAR,967.0,94,2016
7,186,CHOCÓ,206.0,17,2016
8,211,CÓRDOBA,335.0,45,2016
9,281,CUNDINAMARCA,3696.0,539,2016
10,386,GUAINÍA,32.0,14,2016
11,388,GUAVIARE,47.0,9,2016
12,391,HUILA,1279.0,208,2016
13,427,GUAJIRA,492.0,38,2016
14,440,MAGDALENA,1100.0,138,2016
15,487,META,1563.0,225,2016
16,514,NARIÑO,899.0,122,2016
17,595,NORTE DE SANTANDER,1168.0,185,2016
18,630,PUTUMAYO,261.0,26,2016
19,641,QUINDÍO,516.0,105,2016
20,654,RISARALDA,777.0,138,2016
21,680,SANTANDER,2080.0,383,2016
22,753,SUCRE,649.0,49,2016
23,774,TOLIMA,1209.0,165,2016
24,831,VALLE,3.0789999999999997,423,2016
25,848,ARAUCA,480.0,121,2016
26,856,SAN ANDRÉS,133.0,23,2016
27,892,VICHADA,18.0,3,2016
28,906,ATLÁNTICO,2250.0,256,2016
29,929,SANTAFE DE BOGOTA D.C,10734.0,2154,2016
30,931,BOLÍVAR,1363.0,102,2016
31,962,BOYACÁ,1557.0,195,2016
